2 =  factors = [1, 2] 
35051 =  factors = [1, 3, 9, 27, 81, 243, 729] 
35069 =  factors = [1, 2, 3, 4, 6, 7, 9, 14, 21, 35, 42, 68, 77, 109, 147, 214, 350] 
35081 =  factors = [1, 29, 47, 94, 190, 283, 567] 
35083 =  factors = [1, 29, 47, 94, 196, 389, 778] 
35089 =  factors = [1, 2, 4, 7, 14, 28, 35089] 
35111 =  factors = [1, 3, 9, 27, 82, 246, 35111] 
35141 =  factors = [1, 29, 67, 134, 35141] 
35149 =  factors = [1, 7, 49, 35149] 
35159 =  factors = [1, 3, 5, 17, 257, 383, 561, 949, 1575, 35159] 
35171 =  factors = [1, 3, 9, 27, 81, 243, 729] 
35221 =  factors = [1, 2, 3, 6, 9, 18, 35221] 
35257 =  factors = [1, 3, 9, 27, 81, 243, 729] 
35291 =  factors = [1, 7, 49, 35291] 
35317 =  factors = [1, 3, 9, 27, 81, 243, 353] 
35353 =  factors = [1, 3, 9, 27, 81, 243, 35353] 
35363 =  factors = [1, 2, 4, 8, 17, 34, 68, 109, 353] 
35381 =  factors = [1, 79, 269, 35381] 
35437 =  factors = [1, 3, 9, 27, 35437] 
35447 =  factors = [1, 2, 3, 6, 9, 18, 35447] 
35449 =  factors = [1, 2, 3, 6, 7, 14, 21, 42, 83, 127, 35449] 
35521 =  factors = [1, 79, 567, 35521] 
35527 =  factors = [1, 3, 9, 27, 81, 243, 729] 
35543 =  factors = [1, 29, 78, 35543] 
35593 =  factors = [1, 3, 9, 27, 82, 246, 35593] 
35617 =  factors = [1, 3, 9, 27, 81, 243, 35617] 
35671 =  factors = [1, 3, 9, 27, 81, 243, 35671] 
35677 =  factors = [1, 3, 9, 27, 81, 243, 35677] 
35747 =  factors = [1, 29, 37, 78, 109, 218, 35747] 
35753 =  factors = [1, 3, 9, 27, 81, 243, 729] 
35759 =  factors = [1, 3, 29, 89, 357, 3575, 35759] 
35797 =  factors = [1, 3, 29, 89, 357, 3579] 
35803 =  factors = [1, 29, 47, 94, 193, 386, 769] 
35839 =  factors = [1, 3, 9, 27, 35839] 
35863 =  factors = [1, 2, 3, 4, 6, 9, 18, 37, 74, 111, 222, 333, 500, 666, 1000, 1320, 2000, 3000, 35863] 
35869 =  factors = [1, 2, 4, 7, 14, 28, 35869] 
35899 =  factors = [1, 3, 9, 27, 35899] 
35923 =  factors = [1, 7, 49, 35923] 
35951 =  factors = [1, 3, 5, 67, 101, 153, 253, 359] 
35963 =  factors = [1, 2, 4, 7, 14, 28, 35963] 
35969 =  factors = [1, 2, 4, 7, 14, 28, 35969] 
36007 =  factors = [1, 3, 9, 27, 81, 243, 729] 
36017 =  factors = [1, 3, 9, 27, 81, 243, 36017] 
36037 =  factors = [1, 3, 9, 27, 36037] 
36061 =  factors = [1, 2, 3, 6, 9, 18, 36, 54, 67, 90, 190, 380, 540, 670] 
36097 =  factors = [1, 3, 23, 43, 89, 143, 259, 36097] 
36137 =  factors = [1, 3, 9, 27, 81, 243, 36137] 
36161 =  factors = [1, 2, 4, 79, 158, 316, 36161] 
36191 =  factors = [1, 7, 49, 36191] 
36209 =  factors = [1, 7, 49, 36209] 
36251 =  factors = [1, 3, 9, 27, 81, 243, 729] 
36269 =  factors = [1, 7, 49, 36269] 
36293 =  factors = [1, 3, 9, 27, 81, 243, 36293] 
36313 =  factors = [1, 3, 9, 27, 81, 243, 36313] 
36341 =  factors = [1, 79, 237, 36341] 
36343 =  factors = [1, 2, 3, 6, 9, 18, 36, 57, 114, 3221] 
36383 =  factors = [1, 3, 9, 27, 36383] 
36433 =  factors = [1, 3, 9, 27, 36433] 
36469 =  factors = [2, 3, 6, 7, 18, 23, 30, 37, 51, 92, 111, 182, 243, 364] 
36473 =  factors = [1, 3, 9, 27, 81, 243, 729] 
36497 =  factors = [1, 3, 29, 30, 37, 189, 593] 
36529 =  factors = [1, 7, 49, 36529] 
36541 =  factors = [1, 7, 29, 307, 36541] 
36551 =  factors = [1, 3, 9, 27, 81, 243, 729] 
36583 =  factors = [1, 29, 47, 94, 190, 380, 761, 1522, 3044] 
36587 =  factors = [1, 29, 47, 94, 190, 380, 761, 1522, 3043, 6086] 
36599 =  factors = [1, 29, 48, 78, 97, 194, 388] 
36607 =  factors = [1, 29, 3, 48, 61, 9, 18, 59] 
36637 =  factors = [1, 3, 9, 27, 36637] 
36643 =  factors = [1, 2, 3, 6, 9, 18, 36, 57, 114, 171, 342, 517] 
36653 =  factors = [1, 3, 9, 27, 81, 243, 729] 
36683 =  factors = [1, 2, 4, 79, 159, 318, 376] 
36691 =  factors = [1, 3, 9, 27, 81, 243, 36691] 
36697 =  factors = [1, 3, 29, 89, 36697] 
36709 =  factors = [1, 3, 9, 27, 36709] 
36739 =  factors = [1, 3, 9, 27, 36739] 
36781 =  factors = [1, 3, 9, 27, 33, 81, 243, 36781] 
36787 =  factors = [1, 3, 9, 27, 33, 39, 73, 99, 109, 143, 217, 359] 
36793 =  factors = [1, 3, 9, 27, 81, 243, 36793] 
36821 =  factors = [1, 7, 49, 36821] 
36833 =  factors = [1, 3, 9, 27, 33, 39, 99, 109, 359] 
36847 =  factors = [1, 2, 3, 9, 19, 38, 57, 86, 173] 
36871 =  factors = [1, 3, 9, 27, 33, 81, 243, 36871] 
36877 =  factors = [1, 3, 29, 37, 403, 741, 1101, 1519, 2197, 36877] 
36901 =  factors = [1, 7, 49, 369] 
36913 =  factors = [1, 7, 41, 289, 36913] 
36919 =  factors = [1, 3, 27, 99, 369, 1089, 3547] 
36929 =  factors = [1, 7, 49, 369, 2801, 36929] 
36947 =  factors = [1, 2, 3, 19, 38, 57, 94, 109, 178, 357] 
36973 =  factors = [1, 3, 29, 89, 369, 3697] 
36979 =  factors = [1, 3, 29, 37, 99, 36979] 
36997 =  factors = [1, 3, 23, 983, 36997] 
37019 =  factors = [1, 3, 61, 183, 37019] 
37021 =  factors = [1, 3, 9, 19, 38, 67, 100, 37021] 
37039 =  factors = [1, 3, 9, 27, 37039] 
37057 =  factors = [1, 3, 9, 27, 81, 243, 37057] 
37117 =  factors = [1, 3, 9, 27, 81, 243, 37117] 
37123 =  factors = [1, 3, 9, 13, 37, 43, 129, 369] 
37181 =  factors = [1, 3, 9, 27, 37, 181, 37181] 
37199 =  factors = [1, 3, 9, 27, 37199] 
37201 =  factors = [1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192] 
37223 =  factors = [1, 2, 3, 6, 9, 18, 37, 54, 108, 171, 342, 513, 826, 1652, 37223] 
37253 =  factors = [1, 3, 9, 27, 81, 243, 729] 
37337 =  factors = [1, 3, 9, 27, 37337] 
37339 =  factors = [1, 3, 9, 27, 37339] 
37357 =  factors = [1, 3, 9, 27, 81, 243, 373] 
37369 =  factors = [1, 2, 4, 8, 16, 32, 64, 128, 256, 37369] 
37379 =  factors = [1, 3, 9, 27, 37379] 
37409 =  factors = [1, 2, 3, 6, 9, 18, 37409] 
37441 =  factors = [1, 2, 3, 6, 9, 18, 37441] 
37463 =  factors = [1, 2, 3, 6, 9, 18, 37463] 
37489 =  factors = [1, 2, 3, 6, 9, 18, 37489] 
37493 =  factors = [1, 3, 9, 27, 37493] 
37501 =  factors = [1, 3, 9, 27, 81, 243, 729] 
37529 =  factors = [1, 3, 9, 27, 81, 243, 729] 
37547 =  factors = [1, 3, 9, 27, 81, 243, 729] 
37561 =  factors = [1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192] 
37567 =  factors = [1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192] 
37571 =  factors = [1, 3, 9, 27, 81, 243, 729] 
37579 =  factors = [1, 3, 29, 87, 2463, 37579] 
37591 =  factors = [1, 3, 29, 87, 2463, 37591] 
37607 =  factors = [1, 2, 3, 4, 6, 9, 18, 37607] 
37633 =  factors = [1, 3, 9, 27, 37633] 
37643 =  factors = [1, 2, 3, 4, 6, 9, 18, 37643] 
37649 =  factors = [1, 2, 3, 4, 6, 8, 12, 15, 24, 30, 37649] 
37657 =  factors = [1, 3, 9, 27, 81, 243, 729] 
37699 =  factors = [1, 3, 9, 27, 37699] 
37747 =  factors = [1, 2, 3, 689, 1069, 1738, 3476, 5237, 37747] 
37781 =  factors = [1, 3, 9, 27, 377, 37781] 
37799 =  factors = [1, 3, 9, 27, 37799] 
37813 =  factors = [1, 3, 9, 27, 37813] 
37847 =  factors = [1, 2, 3, 6, 9, 18, 37847] 
37853 =  factors = [1, 3, 9, 27, 37853] 
37889 =  factors = [1, 2, 4, 6, 8, 10, 17, 34, 51, 68, 82, 109, 163, 326, 509, 818] 
37897 =  factors = [1, 3, 29, 37897] 
37907 =  factors = [1, 3, 29, 89, 379, 37907] 
37957 =  factors = [1, 3, 29, 89, 379, 3795, 37957] 
37963 =  factors = [1, 2, 4, 8, 16, 32, 64, 128, 256, 37963] 
37987 =  factors = [1, 3, 29, 37987] 
37991 =  factors = [1, 3, 9, 27, 379] 
38011 =  factors = [1, 3, 9, 27, 36, 38011] 
38053 =  factors = [1, 3, 9, 27, 38053] 
38149 =  factors = [1, 2, 3, 6, 7, 9, 14, 18, 21, 30, 35, 42, 51, 63, 70, 86, 99, 147] 
38167 =  factors = [1, 2, 4, 9, 18, 36, 72, 38167] 
38177 =  factors = [1, 3, 9, 27, 38177] 
38183 =  factors = [1, 79, 269, 38183] 
38189 =  factors = [1, 7, 49, 38189] 
38239 =  factors = [1, 7, 49, 38239] 
38281 =  factors = [1, 7, 49, 38281] 
38287 =  factors = [1, 2, 4, 69, 138, 276, 38287] 
38299 =  factors = [1, 3, 9, 27, 38299] 
38317 =  factors = [1, 3, 9, 27, 38317] 
38393 =  factors = [1, 3, 9, 27, 38393] 
38447 =  factors = [1, 2, 3, 6, 9, 18, 32, 57, 114, 384] 
38449 =  factors = [1, 2, 4, 6, 8, 12, 16, 24, 32, 48, 64, 80, 128, 160, 256, 320, 400, 480, 512, 640, 800, 960, 1024] 
38453 =  factors = [1, 3, 9, 27, 3^2, 3*9, 3*27] 
38543 =  factors = [1, 79, 233, 38543] 
38557 =  factors = [1, 3, 9, 27, 829, 2489, 38557] 
38561 =  factors = [1, 7, 49, 38561] 
38569 =  factors = [1, 7, 49, 38569] 
38603 =  factors = [1, 2, 3, 4, 6, 9, 18, 37, 54, 111, 38603] 
38609 =  factors = [1, 2, 4, 7, 14, 28, 38609] 
38639 =  factors = [1, 3, 9, 27, 38639] 
38651 =  factors = [1, 3, 9, 27, 82, 246, 38651] 
38653 =  factors = [1, 3, 9, 27, 82, 246, 38653] 
38671 =  factors = [1, 3, 9, 27, 38671] 
38677 =  factors = [1, 3, 9, 27, 38677] 
38713 =  factors = [1, 3, 9, 27, 38713] 
38749 =  factors = [1, 2, 3, 6, 9, 18, 37, 54, 98, 196, 387] 
38767 =  factors = [1, 2, 3, 4, 6, 9, 18, 37, 54, 72, 108, 144, 216, 38767] 
38791 =  factors = [1, 3, 623, 38791] 
38803 =  factors = [1, 29, 47, 94, 196, 38803] 
38821 =  factors = [1, 7, 49, 388, 2663, 38821] 
38839 =  factors = [1, 7, 49, 38839] 
38861 =  factors = [1, 2, 4, 7, 14, 29, 58, 89, 178] 
38903 =  factors = [1, 3, 9, 27, 389, 38903] 
38933 =  factors = [1, 3, 9, 27, 38933] 
38959 =  factors = [1, 3, 9, 27, 389, 3895, 38959] 
38993 =  factors = [1, 3, 9, 27, 389, 3899, 38993] 
39023 =  factors = [1, 7, 49, 39023] 
39047 =  factors = [1, 2, 3, 6, 9, 18, 36, 54, 97, 194, 388] 
39079 =  factors = [1, 3, 23, 69, 87, 39079] 
39097 =  factors = [1, 3, 29, 39097] 
39107 =  factors = [1, 3, 29, 61, 97, 39107] 
39113 =  factors = [1, 3, 7, 23, 43, 89, 161, 39113] 
39119 =  factors = [1, 3, 67, 208, 39119] 
39139 =  factors = [1, 3, 9, 13, 39, 139, 391] 
39157 =  factors = [1, 3, 29, 87, 2603, 39157] 
39161 =  factors = [1, 2, 4, 8, 17, 34, 68, 105, 39161] 
39191 =  factors = [1, 7, 49, 39191] 
39209 =  factors = [1, 7, 49, 67, 39209] 
39217 =  factors = [1, 3, 9, 27, 81, 243, 39217] 
39227 =  factors = [1, 3, 9, 27, 81, 243, 39227] 
39229 =  factors = [1, 2, 4, 67, 134, 268, 536, 39229] 
39239 =  factors = [1, 7, 49, 39239] 
39251 =  factors = [1, 3, 5, 17, 257, 383, 561] 
39313 =  factors = [1, 3, 7, 23, 43, 89, 161, 393] 
39317 =  factors = [1, 3, 62841] 
39367 =  factors = [1, 2, 4, 8, 16, 32, 64, 128, 256, 39367] 
39383 =  factors = [1, 2, 4, 67, 134, 268, 39383] 
39397 =  factors = [1, 3, 29, 39397] 
39409 =  factors = [1, 2, 3, 6, 7, 9, 18, 39409] 
39419 =  factors = [1, 7, 49, 39419] 
39451 =  factors = [1, 3, 9, 27, 39451] 
39461 =  factors = [1, 2, 3, 6, 7, 10, 14, 21, 35, 42, 70, 84, 110, 140, 210, 39461] 
39503 =  factors = [1, 3, 9, 27, 39503] 
39551 =  factors = [1, 3, 5, 67, 101, 153, 253, 304, 395] 
39569 =  factors = [1, 2, 4, 7, 14, 28, 39569] 
39581 =  factors = [1, 3, 9, 27, 39581] 
39631 =  factors = [1, 7, 49, 39631] 
39659 =  factors = [1, 3, 9, 27, 81, 243, 39659] 
39671 =  factors = [1, 3, 29, 39, 67, 118, 207, 39671] 
39679 =  factors = [1, 2, 4, 8, 10, 17, 34, 58, 76, 112, 154, 228, 39679] 
39703 =  factors = [1, 3, 9, 27, 39703] 
39719 =  factors = [1, 3, 6, 9, 18, 27, 36, 54, 81, 108, 162, 243, 324, 486, 649, 972, 1518] 
39749 =  factors = [1, 2, 3, 6, 9, 18, 39749] 
39769 =  factors = [1, 2, 4, 8, 16, 32, 64, 128, 39769] 
39779 =  factors = [1, 3, 29, 89, 39779] 
39791 =  factors = [1, 3, 6, 9, 18, 27, 36, 54, 81, 108, 162, 243, 324, 486, 649, 972] 
39821 =  factors = [1, 7, 49, 39821] 
39827 =  factors = [1, 3, 9, 27, 39827] 
39839 =  factors = [1, 3, 9, 27, 39839] 
39857 =  factors = [1, 3, 29, 47, 73, 109, 161, 277, 39857] 
39863 =  factors = [1, 2, 3, 4, 6, 7, 10, 14, 21, 28, 35, 42, 56, 70, 91, 112, 143, 184, 257, 39863] 
39887 =  factors = [1, 2, 4, 6, 13, 26, 39, 52, 78, 117, 154, 234, 306, 39887] 
39953 =  factors = [1, 3, 9, 27, 81, 243, 399] 
39971 =  factors = [1, 3, 6, 9, 18, 27, 36, 54, 90, 108, 189, 399] 
39979 =  factors = [1, 3, 6, 9, 18, 27, 36, 54, 81, 108, 162, 243, 324, 486, 649, 978] 
39983 =  factors = [1, 2, 4, 7, 14, 29, 58, 87, 174, 348, 39983] 
39989 =  factors = [1, 2, 4, 7, 14, 29, 58, 86, 177] 
40063 =  factors = [29, 789] 
40087 =  factors = [29, 3, 13, 61, 40087] 
40093 =  factors = [1, 7, 49, 67, 40093] 
40153 =  factors = [1, 3, 9, 27, 81, 243, 615] 
40169 =  factors = [1, 2, 3, 4, 6, 7, 8, 9, 12, 14, 18, 21, 24, 27, 32, 36, 40, 42, 48, 54, 60, 66, 72, 84, 96] 
40177 =  factors = [1, 3, 29, 87, 269, 40177] 
40189 =  factors = [1, 7, 49, 67, 40189] 
40193 =  factors = [1, 7, 49, 629, 40193] 
40231 =  factors = [1, 79, 3, 98, 26, 13, 157] 
40237 =  factors = [1, 3, 9, 27, 81, 243, 619] 
40241 =  factors = [1, 7, 49, 67, 40241] 
40253 =  factors = [1, 3, 9, 27, 81, 243, 619] 
40283 =  factors = [1, 79, 67, 40283] 
40351 =  factors = [1, 3, 9, 27, 81, 243, 619] 
40357 =  factors = [1, 3, 9, 27, 81, 243, 619] 
40387 =  factors = [1, 3, 9, 27, 33, 69, 81, 243, 403] 
40429 =  factors = [2, 7, 19, 40429] 
40433 =  factors = [1, 79, 289, 40433] 
40487 =  factors = [1, 2, 3, 6, 9, 18, 36, 54, 97, 194] 
40499 =  factors = [1, 7, 49, 67, 40499] 
40507 =  factors = [1, 3, 9, 27, 40507] 
40519 =  factors = [1, 3, 67, 2023, 40519] 
40577 =  factors = [1, 3, 29, 869, 40577] 
40591 =  factors = [1, 3, 67, 2028, 40591] 
40597 =  factors = [1, 3, 29, 40597] 
40609 =  factors = [2, 3, 9, 18, 40609] 
40693 =  factors = [1, 7, 49, 6289] 
40709 =  factors = [1, 3, 29, 40709] 
40751 =  factors = [1, 3, 9, 27, 81, 243, 619] 
40759 =  factors = [1, 3, 27, 83, 246, 40759] 
40763 =  factors = [1, 29, 3, 83, 40763] 
40801 =  factors = [1, 2, 3, 6, 9, 18, 36, 54, 72, 108, 144, 216, 360, 408] 
40813 =  factors = [1, 7, 29, 40813] 
40819 =  factors = [1, 7, 49, 627, 40819] 
40829 =  factors = [1, 7, 49, 67, 40829] 
40841 =  factors = [2, 3, 9, 17, 40841] 
40847 =  factors = [2, 3, 9, 16, 40847] 
40849 =  factors = [2, 3, 7, 13, 40849] 
40853 =  factors = [1, 79, 23, 323, 40853] 
40883 =  factors = [2, 3, 9, 17, 40883] 
40897 =  factors = [1, 3, 29, 40897] 
40903 =  factors = [1, 7, 23, 40903] 
40927 =  factors = [1, 3, 9, 27, 81, 243, 619] 
40933 =  factors = [1, 7, 23, 40933] 
40973 =  factors = [1, 3, 27, 40973] 
40993 =  factors = [1, 7, 49, 67, 409] 
41017 =  factors = [1, 3, 9, 27, 81, 243, 613] 
41039 =  factors = [1, 3, 9, 27, 33, 99, 397] 
41047 =  factors = [1, 2, 3, 6, 9, 18, 37, 54, 1008] 
41051 =  factors = [1, 3, 9, 27, 83, 249, 617] 
41057 =  factors = [1, 3, 9, 27, 81, 243, 619] 
41117 =  factors = [1, 3, 9, 27, 82, 246, 41117] 
41149 =  factors = [1, 7, 49, 627, 41149] 
41161 =  factors = [1, 2, 3, 4, 6, 9, 18, 37, 54, 1008] 
41177 =  factors = [1, 3, 9, 27, 82, 246, 41177] 
41179 =  factors = [1, 3, 27, 41179] 
41183 =  factors = [1, 3, 9, 27, 33, 69, 87, 261, 41183] 
41189 =  factors = [1, 7, 49, 623, 41189] 
41203 =  factors = [1, 3, 9, 17, 51, 163, 489] 
41213 =  factors = [1, 3, 9, 13, 37, 40, 123, 156, 219, 41213] 
41227 =  factors = [1, 3, 9, 27, 81, 243, 613] 
41231 =  factors = [1, 3, 9, 17, 27, 33, 41, 59, 87] 
41233 =  factors = [1, 3, 9, 13, 37, 43, 129, 159] 
41263 =  factors = [1, 2, 3, 6, 9, 18, 27, 54, 81, 162, 243, 324, 486, 649, 810, 1215] 
41269 =  factors = [1, 2, 3, 6, 7, 9, 18, 27, 36, 54, 81, 108, 162, 216, 324, 41269] 
41333 =  factors = [1, 3, 9, 27, 81, 243, 619] 
41341 =  factors = [1, 2, 3, 6, 9, 18, 27, 54, 81, 162, 324, 41341] 
41357 =  factors = [1, 3, 9, 27, 81, 243, 619] 
41387 =  factors = [1, 3, 9, 27, 33, 69, 81, 243, 413] 
41389 =  factors = [1, 7, 49, 623, 41389] 
41399 =  factors = [1, 3, 9, 27, 33, 81, 243, 619, 4139] 
41411 =  factors = [1, 3, 9, 27, 81, 243, 613] 
41443 =  factors = [1, 2, 3, 6, 9, 18, 27, 54, 81, 162, 243, 41443] 
41467 =  factors = [1, 2, 3, 6, 9, 18, 37, 54, 1009] 
41479 =  factors = [1, 2, 3, 6, 9, 18, 37, 54, 100, 174, 348, 523, 969, 1607, 2761, 41479] 
41507 =  factors = [1, 3, 9, 27, 81, 243, 619] 
41521 =  factors = [1, 3, 9, 27, 81, 243, 6127] 
41539 =  factors = [1, 3, 9, 27, 81, 243, 619] 
41549 =  factors = [1, 7, 29, 41549] 
41579 =  factors = [1, 3, 29, 87, 260, 41579] 
41603 =  factors = [2, 3, 9, 18, 41603] 
41611 =  factors = [1, 2, 3, 6, 9, 18, 37, 54, 100, 174, 348, 525, 819] 
41617 =  factors = [1, 3, 9, 27, 81, 243, 41617] 
41621 =  factors = [1, 2, 3, 6, 9, 18, 37, 54, 108, 171, 342, 513, 826, 1652, 41621] 
41627 =  factors = [1, 3, 9, 27, 81, 243, 41627] 
41641 =  factors = [2, 3, 9, 18, 41641] 
41659 =  factors = [1, 3, 9, 27, 81, 243, 41659] 
41681 =  factors = [1, 2, 4, 7, 14, 29, 58, 83, 162, 279, 41681] 
41687 =  factors = [1, 2, 3, 4, 6, 9, 18, 32, 57, 114, 228, 41687] 
41719 =  factors = [1, 3, 6283, 41719] 
41729 =  factors = [1, 3, 9, 27, 81, 243, 619] 
41737 =  factors = [1, 3, 9, 27, 81, 243, 613] 
41759 =  factors = [1, 3, 29, 83, 2603, 41759] 
41771 =  factors = [1, 3, 9, 27, 81, 243, 613] 
41777 =  factors = [1, 3, 9, 27, 81, 243, 613] 
41801 =  factors = [1, 2, 3, 6, 9, 18, 36, 54, 72, 108, 144, 216, 360, 432, 648, 864, 1296] 
41813 =  factors = [1, 3, 9, 27, 33, 69, 101, 303, 41813] 
41843 =  factors = [1, 2, 3, 6, 9, 18, 27, 54, 81, 162, 243, 41843] 
41851 =  factors = [1, 3, 9, 27, 33, 99, 161, 323, 41851] 
41863 =  factors = [1, 2, 3, 9, 17, 51, 103, 309, 41863] 
41887 =  factors = [1, 2, 3, 6, 9, 18, 36, 54, 108, 176, 352, 540, 972, 1744, 3488] 
41953 =  factors = [1, 3, 9, 27, 81, 243, 619] 
41959 =  factors = [1, 3, 9, 27, 41959] 
41981 =  factors = [1, 7, 41, 299, 307, 41981] 
41983 =  factors = [1, 7, 23, 41983] 
41999 =  factors = [1, 2, 4, 7, 98, 196, 392, 4199] 
42013 =  factors = [1, 3, 9, 13, 37, 43, 129, 157, 42013] 
42019 =  factors = [1, 7, 49, 67, 42019] 
42023 =  factors = [1, 79, 3, 98, 23, 6, 14, 15] 
42043 =  factors = [1, 79, 3, 63, 29, 13, 9, 5] 
42071 =  factors = [1, 3, 9, 27, 42071] 
42089 =  factors = [1, 7, 49, 67, 349, 42089] 
42157 =  factors = [1, 3, 9, 27, 81, 243, 615] 
42169 =  factors = [1, 7, 49, 67, 42169] 
42179 =  factors = [1, 3, 61, 42179] 
42187 =  factors = [1, 3, 9, 27, 42187] 
42197 =  factors = [1, 3, 61, 42197] 
42209 =  factors = [2, 3, 6, 7, 9, 18, 27, 42, 54, 63, 81, 127] 
42223 =  factors = [1, 79, 306, 42223] 
42281 =  factors = [1, 79, 42281] 
42283 =  factors = [1, 79, 306, 42283] 
42323 =  factors = [1, 3, 9, 27, 81, 243, 612, 423] 
42331 =  factors = [1, 3, 9, 27, 81, 243, 619] 
42337 =  factors = [1, 3, 9, 42337] 
42359 =  factors = [1, 3, 9, 27, 81, 243, 423] 
42391 =  factors = [1, 7, 49, 67, 303, 42391] 
42397 =  factors = [1, 3, 9, 27, 42397] 
42409 =  factors = [1, 7, 49, 67, 349, 42409] 
42433 =  factors = [1, 3, 9, 10, 11, 13, 33, 39, 43, 47, 59, 61, 83, 213] 
42437 =  factors = [1, 3, 9, 42437] 
42443 =  factors = [1, 79, 306, 42443] 
42457 =  factors = [1, 3, 9, 19, 47, 63, 139, 42457] 
42461 =  factors = [1, 2, 3, 6, 9, 18, 37, 54, 1008] 
42463 =  factors = [1, 79, 42463] 
42467 =  factors = [1, 2, 3, 9, 18, 27, 36, 54, 81, 162, 243, 42467] 
42491 =  factors = [1, 7, 49, 67, 42491] 
42577 =  factors = [1, 3, 9, 27, 81, 243, 619] 
42641 =  factors = [1, 2, 3, 6, 9, 18, 27, 36, 54, 81, 162, 243, 42641] 
42667 =  factors = [1, 2, 3, 6, 9, 18, 42667] 
42677 =  factors = [1, 3, 9, 27, 42677] 
42683 =  factors = [1, 79, 42683] 
42697 =  factors = [1, 3, 9, 27, 42697] 
42709 =  factors = [1, 3, 9, 27, 42709] 
42727 =  factors = [1, 3, 9, 27, 81, 243, 427] 
42737 =  factors = [1, 3, 9, 27, 81, 42737] 
42751 =  factors = [1, 3, 9, 27, 81, 427] 
42767 =  factors = [1, 3, 9, 27, 81, 42767] 
42773 =  factors = [1, 3, 9, 27, 81, 243, 613] 
42793 =  factors = [1, 3, 9, 27, 81, 243, 619] 
42797 =  factors = [1, 3, 61, 42797] 
42821 =  factors = [1, 7, 49, 67, 306, 42821] 
42839 =  factors = [1, 7, 49, 67, 306, 42839] 
42841 =  factors = [1, 2, 3, 6, 9, 18, 27, 36, 54, 81, 162, 243, 42841] 
42853 =  factors = [1, 3, 9, 27, 43, 69, 87, 133, 261, 42853] 
42929 =  factors = [1, 7, 49, 67, 429, 3089] 
42937 =  factors = [1, 3, 9, 27, 42937] 
42943 =  factors = [1, 7, 49, 67, 42943] 
42953 =  factors = [1, 3, 9, 27, 81, 243, 429] 
42961 =  factors = [1, 7, 49, 349, 2489] 
42967 =  factors = [1, 3, 9, 27, 81, 243, 429] 
43013 =  factors = [1, 3, 9, 27, 81, 243, 613] 
43019 =  factors = [1, 7, 43, 29, 343, 2187] 
43049 =  factors = [2, 7, 13, 43, 91, 169, 430] 
43051 =  factors = [1, 3, 9, 27, 81, 243, 43051] 
43063 =  factors = [29, 78, 159, 318, 43063] 
43067 =  factors = [1, 2, 3, 9, 18, 27, 36, 54, 81, 162, 243, 324, 43067] 
43103 =  factors = [1, 3, 9, 27, 33, 99, 397] 
43117 =  factors = [1, 3, 9, 27, 829, 43117] 
43151 =  factors = [1, 3, 9, 27, 81, 243, 619] 
43189 =  factors = [1, 7, 43, 62, 299, 307, 43189] 
43201 =  factors = [1, 3, 9, 27, 81, 243, 612, 43201] 
43207 =  factors = [1, 3, 9, 27, 81, 243, 613] 
43283 =  factors = [1, 2, 3, 4, 6, 9, 18, 36, 54, 72, 108, 144, 216, 360] 
43291 =  factors = [1, 7, 43, 61, 43291] 
43313 =  factors = [1, 3, 9, 27, 81, 243, 433] 
43319 =  factors = [1, 3, 67, 2083, 43319] 
43321 =  factors = [1, 3, 9, 27, 81, 243, 619] 
43331 =  factors = [1, 3, 9, 27, 81, 243, 433] 
43391 =  factors = [1, 7, 43, 29, 343, 43391] 
43411 =  factors = [1, 7, 43, 29, 343, 43411] 
43427 =  factors = [1, 3, 9, 27, 81, 243, 434] 
43441 =  factors = [1, 2, 3, 6, 9, 18, 37, 54, 100, 171, 342, 513, 826, 1279, 2158, 3437, 5145] 
43451 =  factors = [1, 3, 9, 27, 81, 243, 43451] 
43457 =  factors = [1, 3, 9, 27, 81, 243, 43457] 
43487 =  factors = [1, 2, 3, 6, 9, 18, 27, 54, 81, 162, 43487] 
43499 =  factors = [1, 7, 43, 62, 293, 43499] 
43541 =  factors = [1, 79, 3, 269, 98, 397] 
43577 =  factors = [1, 3, 29, 89, 2301, 43577] 
43591 =  factors = [1, 3, 27, 823, 43591] 
43607 =  factors = [1, 2, 3, 6, 9, 18, 36, 54, 108, 1728] 
43609 =  factors = [2, 3, 9, 18, 43609] 
43613 =  factors = [1, 79, 1087, 43613] 
43627 =  factors = [1, 3, 9, 27, 81, 243, 436] 
43633 =  factors = [1, 3, 9, 27, 81, 243, 43633] 
43651 =  factors = [1, 3, 9, 27, 81, 243, 43651] 
43661 =  factors = [1, 2, 3, 6, 9, 18, 37, 54, 108, 171, 342, 513] 
43669 =  factors = [2, 3, 6, 7, 9, 18, 37, 54, 98, 196, 393] 
43753 =  factors = [1, 3, 9, 27, 81, 243, 437] 
43783 =  factors = [1, 3, 9, 27, 33, 69, 81, 243, 437] 
43789 =  factors = [1, 2, 3, 6, 9, 18, 36, 54, 90, 135, 270, 43789] 
